ONSEN,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49,bin_50,bin_51,bin_52,bin_53,bin_54,bin_55,bin_56,bin_57,bin_58,bin_59,bin_60,bin_61,bin_62,bin_63,bin_64,bin_65,bin_66,bin_67,bin_68,bin_69,bin_70,bin_71,bin_72,bin_73,bin_74,bin_75,bin_76,bin_77,bin_78,bin_79,bin_80
AT1TE12295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,22.86625,5.0,4.763333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555,0.0,0.0,0.0,5.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2725
AT1TE24850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165,0.0,0.0,0.0,0.0,0.0,0.0,8.33,27.27,21.886666666666667,2.2725,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.763333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE59755,0.0,3.03,0.0,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165,0.0,0.0,0.0,1.818,1.428,0.0,0.0,0.0,1.38875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3814285714285717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1675,0.0,4.445,29.334000000000003,0.0,0.0,25.0,31.43,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,22.5,8.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,20.0,8.335,25.0,55.0,25.0,0.0,0.0,25.0,50.0,25.0,100.0,0.0,0.0
AT1TE71045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.775000000000006,64.285,30.0,48.413333333333334,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.335,0.0,0.0,25.0,5.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.763333333333333,0.0,0.0,1.6670000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3TE54550,63.91166666666666,55.0,32.151428571428575,67.61333333333334,45.185,62.28333333333334,78.3775,59.41833333333333,30.596666666666664,51.11000000000001,40.651666666666664,34.35555555555556,0.0,63.37166666666668,80.91,58.207499999999996,70.74000000000001,38.46,0.0,30.5625,58.33,59.11500000000001,36.11,76.66499999999999,84.92,57.29285714285714,67.73666666666666,9.09,0.0,27.883333333333336,17.79,14.29,32.57666666666667,32.05,38.096666666666664,70.83500000000001,16.4575,33.2725,0.0,44.63285714285714,40.29666666666666,41.666666666666664,32.5,68.75,57.669999999999995,55.55499999999999,57.462,66.865,18.453333333333333,33.33,44.01428571428572,54.49333333333332,35.415,23.333333333333332,4.166666666666667,24.761666666666667,28.57,49.97625000000001,22.42,49.839999999999996,82.64,24.120000000000005,46.43000000000001,56.943333333333335,14.305,36.664,33.33,75.27666666666666,25.0,78.57,74.602,22.22,0.0,47.475,0.0,0.0,25.0,51.295,0.0,40.0
AT3TE89830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.665,0.0,29.165,0.0,0.0,0.0,0.0,4.165,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6675,0.0,0.0,3.335,0.0,14.835,6.904999999999999,0.0,2.796666666666667,9.615,32.01,0.0,15.38,44.505,55.06,66.26875,32.5,53.846666666666664,34.845,10.989999999999998,0.0,51.607499999999995,3.03,23.02166666666666,0.0,0.0,0.0,22.381666666666664,3.214,0.0,0.0,2.222,3.3333333333333335,1.818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3TE92525,3.845,0.0,1.538,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.7933333333333333,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9225,0.0,0.0,0.0,1.0985714285714285,0.0,0.0,0.0,0.0,0.0,8.096666666666666,0.0,50.0,27.5,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5TE15240,6.111666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.668000000000001,4.1675,0.0,1.587142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,12.5,0.0,0.0,13.048000000000002,38.206999999999994,0.0,69.72333333333333,73.33500000000001,33.095,73.86500000000001,90.91,42.805,57.64000000000001,64.444,78.52,91.875,62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4285714285714286
AT1TE12295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,16.63,5.0,4.763333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555,0.0,0.0,0.0,3.703333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.818
AT1TE24850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,8.33,13.635,29.49875,4.26125,0.0,0.0,1.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,2.7783333333333338,0.0,0.0,0.0,6.8028571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1TE59755,0.0,1.515,0.0,2.2725,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.0,2.0825,0.0,0.0,0.0,0.909,0.714,0.0,0.0,0.0,0.694375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1907142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08375,0.0,3.8891666666666667,28.75,6.25,6.25,18.75,36.5475,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,17.142857142857142,4.1675,0.0,0.0,0.0,0.0,0.0,0.0,30.55666666666667,0.0,67.22333333333334,28.3325,9.1675,32.5,55.832499999999996,55.0,0.0,0.0,21.666666666666668,39.582499999999996,67.14285714285714,63.89000000000001,10.667,73.33333333333333
AT1TE71045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16625,0.0,0.0,0.0,0.0,0.0,0.0,67.8875,73.81,31.665,57.382000000000005,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1675,0.0,0.0,12.5,10.601666666666667,0.0,0.0,0.0,8.333333333333334,4.761428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8579999999999997,0.0,0.0,1.1113333333333335,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3TE54550,62.25111111111111,65.5,39.589000000000006,65.23444444444445,56.4625,66.97111111111111,81.09714285714287,63.686666666666675,42.42111111111111,61.85111111111111,54.878888888888895,46.09625,0.0,66.65583333333335,80.03875,70.62125,67.444,50.480000000000004,0.0,32.70142857142857,66.66499999999999,60.00444444444445,55.90250000000001,80.74,85.9125,68.82571428571428,76.23,6.06,0.0,34.444,20.799999999999997,12.7,41.01,42.067499999999995,36.19199999999999,65.775,29.75625,46.96875,0.0,48.083571428571425,39.62090909090909,41.964999999999996,32.778333333333336,73.61,55.7525,48.14666666666667,59.516666666666666,70.158,27.644,41.665,53.16,49.2025,23.61,24.0,3.125,16.507777777777775,32.379999999999995,54.984166666666674,31.613333333333333,46.48428571428571,81.76,30.366666666666667,40.47666666666667,60.18444444444444,20.251666666666665,33.12714285714286,23.81,74.315,16.666666666666668,77.38,73.28714285714285,23.146666666666665,0.0,47.721666666666664,0.0,0.0,31.25,53.24333333333334,0.0,45.0
AT3TE89830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.582499999999996,0.0,33.75,0.0,0.0,0.0,0.0,7.0825,0.0,0.0,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83375,0.0,0.0,1.6675,0.0,7.4175,4.603333333333333,0.0,1.3983333333333334,4.8075,17.004444444444445,0.0,7.69,48.502500000000005,64.32,61.165384615384625,35.0,52.30800000000001,38.254999999999995,9.6625,0.0,56.6375,18.18166666666667,29.981818181818177,0.0,0.0,0.0,20.095,4.748333333333333,0.0,0.0,1.111,1.6666666666666667,0.909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3TE92525,1.9225,0.0,0.769,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.39666666666666667,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2816666666666667,0.0,0.0,0.0,0.769,0.0,0.0,0.0,0.0,0.0,4.858,0.0,31.25,28.3325,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,1.515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5TE15240,5.238571428571428,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7775,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,0.0,0.0,0.0,3.125,3.030909090909091,2.3814285714285717,0.0,0.8546153846153846,0.0,0.0,0.0,1.25,0.0,0.0,4.365555555555556,5.555555555555555,0.0,0.0,19.44333333333333,0.0,0.0,7.24888888888889,32.213125,100.0,73.61166666666666,86.6675,41.75625,74.4325,90.455,41.193749999999994,61.111875000000005,61.93272727272727,65.79428571428572,91.77125000000001,56.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625
