Window,Context,Mean (01-29),Median (01-29),Std (01-29),Mean (24-25),Median (24-25),Std (24-25),T-test p-value,KS-test p-value,T-test corr p-value,KS-test corr p-value
AT1TE12295,CG,72.95076923076924,75.0,20.04423676804413,87.3517391304348,90.0,12.381515339254655,2.2586975955727588e-10,2.5582132112678124e-07,4.291525579347422e-09,3.837312945176308e-06
AT1TE12295,CHG,53.37428571428571,47.22,24.112838522924942,51.70869565217392,50.0,23.29483919414954,0.8032505995897629,0.9723994754076734,0.9595428376780587,0.9723994754076734
AT1TE12295,CHH,32.68144351464435,28.57,25.71738487358987,33.927748441510815,28.57,27.56873019744401,0.3574522098308035,0.005743726385245118,0.9296226992511774,0.05052166395167157
AT1TE24850,CG,86.6132044198895,100.0,18.66432830448661,86.12172764227643,90.0,15.048493349719532,0.6708800433586428,1.6281120895911272e-09,0.9595428376780587,2.930601716855108e-08
AT1TE24850,CHG,56.5450442477876,60.0,29.01386449548981,48.33391891891892,48.075,22.540998881771422,0.010939631739323864,0.0018035539089178432,0.1236580534758982,0.023194152203511953
AT1TE24850,CHH,34.5032892998679,33.33,29.587246936788762,29.049951581665592,22.22,26.680012031340823,1.8443046192936594e-12,1.6431300764452317e-14,3.873035225865351e-11,3.4505731605349865e-13
AT1TE59755,CG,80.13728813559322,87.5,22.55760459023035,84.96294117647058,90.0,17.62992425844566,0.0578994327708683,0.10873246147547933,0.3794480820592734,0.43760630216630325
AT1TE59755,CHG,45.93565217391304,40.0,26.31248072618721,28.409259259259258,22.22,26.663783222708652,0.004258673121529852,0.004035988171118943,0.0539699756999954,0.03963470139834879
AT1TE59755,CHH,29.319612277867527,27.27,24.335769259247435,14.962116402116402,8.33,20.87274558158161,1.815952985307433e-49,1.8083563976134367e-48,0.0,0.0
AT1TE71045,CG,86.84685393258428,90.0,15.259130889258348,89.00889400921659,91.28999999999999,14.466060284655006,0.0420423825515672,0.035945875083811085,0.3206139007805713,0.22605531811841306
AT1TE71045,CHG,57.63467289719626,57.14,27.623051200098878,45.19066666666667,40.0,26.404680605697333,0.0006626870847767625,0.0022375156302903987,0.009237761896333962,0.026522212226909314
AT1TE71045,CHH,35.06053445229683,30.0,30.384777744370368,29.317532213978915,20.0,29.403179977966825,2.961509887069075e-11,7.821513436923055e-10,5.923017631914718e-10,1.4860875419131503e-08
AT3TE54550,CG,81.23497159090908,87.5,19.80406082093248,86.74813483146067,90.0,16.614657462269935,2.2246740962225567e-05,0.00038669169842875384,0.000378127295065811,0.005400097530179115
AT3TE54550,CHG,23.51026548672566,20.0,20.963925756292824,17.8172,12.5,19.21079245701922,0.023508902135166633,0.06074967643236606,0.21171568689715814,0.3134247873475611
AT3TE54550,CHH,13.060556079170594,0.0,20.89161914255705,10.244926470588235,0.0,19.03612673137497,7.718320300427463e-07,5.7846239798209353e-08,1.3892885395661025e-05,9.833856214891412e-07
AT3TE89830,CG,74.8256862745098,78.57,19.87237446840934,88.59132250580046,91.67,15.673244462665577,4.583732513698853e-24,8.881784197001252e-16,0.0,1.9539925233402755e-14
AT3TE89830,CHG,42.81835051546392,41.67,22.822791813123565,39.52042253521127,36.93,25.410594437765894,0.307796746367696,0.485538526047985,0.9238560408881156,0.8638371688034883
AT3TE89830,CHH,23.729192602616145,20.0,22.789876257567837,21.29831686661962,14.29,23.914009154238943,0.0002558923731930547,2.9289981551272604e-10,0.0038315177208559925,5.857996310254521e-09
AT3TE92525,CG,87.78735602094243,93.095,16.839365764317055,92.16893462469733,100.0,11.921924330268421,2.3599965430854647e-05,0.0023663184637083834,0.000378127295065811,0.026522212226909314
AT3TE92525,CHG,59.207786885245895,62.59,26.093907602246585,61.85330508474577,63.07,26.227336077468532,0.4361835061508378,0.24597196350611839,0.9430244032328945,0.6767414824494662
AT3TE92525,CHH,34.724666666666664,30.77,28.715301984021394,35.22316994777019,28.57,29.67038499306076,0.5515140372880231,0.011022397797793126,0.9595428376780587,0.08485133934077449
AT5TE15240,CG,76.37567099567099,80.0,20.713337994396536,92.87419501133787,100.0,13.31195794584678,2.5117489828588127e-32,3.3306690738754696e-16,0.0,7.66053886991358e-15
AT5TE15240,CHG,59.53972222222223,60.0,21.173958519069693,61.161406250000006,63.64,23.155402843288236,0.6263539398461346,0.6746125318515607,0.9595428376780587,0.8941229955719484
AT5TE15240,CHH,34.774245228455754,33.33,25.4453506559803,36.818765788524,30.0,30.329461466246812,0.019535837959732457,1.709783757908312e-07,0.1950869596695637,2.735650504570586e-06
